က	ka̰
ကန်ထရိုက်	kàɴtʰəɹaɪʔ
ကပိလဝတ်	kəpḭla̰wʊʔ
ကပ္ပလီ	kaʔpəlì
ကပ္ပလီပင်လယ်	kaʔpəlìpɪ̀ɴlɛ̀
ကပ်	kaʔ
ကပ်ကြီးသုံးပါး	kaʔdʑíθóʊɴbá
ကပ်နာ	kaʔnà
ကပ်ပယ်	kaʔpɛ̀
ကပ်ပါး	kaʔpá
ကပ်ရောဂါ	kaʔjɔ́gà
ကပွဲရုံ	ka̰bwɛ́jòʊɴ
ကဖီး	kəpʰí
ကဗျာ	gəbjà
ကဘတ်	gəbaʔ
ကဘီလူး	ka̰bəlú
ကဘူးလ်	ka̰bú
ကမန်	ka̰màɴ
ကမာ	kəmà
ကမာရွတ်	kəmàjʊʔ
ကမ္ဗလာ	gəbəlà
ကမ္ဗောဇ	kàɴbɔ́za̰
ကမ္ဘာ	gəbà
ကမ္ဘာဂြိုဟ်	gəbàdʑò
ကမ္ဘာစစ်	gəbàsɪʔ
ကမ္ဘာဖလား	gəbàpʰəlá
ကမ္ဘာလုံး	gəbàlóʊɴ
ကမ္ဘာလုံးခြမ်း	gəbàlóʊɴdʑàɴ
ကမ္ဘာ့ဖလား	gəba̰pʰəlá
ကမ္ဘောဒီးယား	kàɴbɔ́díjá
ကမ္မဝါ	kàɴma̰wà
ကမ္မဝါစာ	kàɴma̰wàsà
ကမ်စော်	kàɴzɔ̀
ကမ်း	káɴ
ကမ်းခြေ	káɴdʑè
ကယား	kəjá
ကယ်	kɛ̀
ကယ်တင်ရှင်	kɛ̀tɪ̀ɴʃɪ̀ɴ
ကယ်လဆီယမ်	kɛ̀ləsʰìjàɴ
ကရကဋ်	kəɹa̰kàt
ကရက်	ka̰ɹɛʔ
ကရင်	kəjɪ̀ɴ
ကရင်နီ	kəjɪ̀ɴnì
ကရစ်ကက်	kəɹɪʔkɛʔ
ကရဝိက်	kəɹa̰weɪʔ
ကရဝေးရွက်	kəɹəwéjwɛʔ
ကရိန်း	kəɹéɪɴ
ကရုဏာ	gəjṵnà
ကလပ်	kəlaʔ
ကလမောင်း	kələmáʊɴ
ကလာပ်စည်း	kəlaʔsí
ကလိုရင်း	kəlòɹɪ́ɴ
ကလီစာ	kəlìzà
ကလောင်	kəlàʊɴ
ကလေး	kʰəlé
ကလေးဖျက်	kəlépʰjɛʔ
ကလျာ	kələjà
ကလျာဏမိတ္တ	kələjàna̰meɪʔta̰
ကလျာဏီ	kələjànì
ကဝိ	kəwḭ
ကဝေ	kəwè
ကသည်း	kəθí
ကာ	kà
ကာကွယ်	kàgwɛ̀
ကာကွယ်ဆေး	kàgwɛ̀zé
ကာကွယ်ရေး	kàgwɛ̀jé
ကာဂစ်စတန်	kəgɪʔsətàɴ
ကာဂျစ္စတန်	kədʑɪʔsətàɴ
ကာဇက်စတန်	kàzɛʔsətàɴ
ကာတာ	kàtà
ကာတွန်း	kàtʊ́ɴ
ကာဗွန်	kàbʊ̀ɴ
ကာမ	kàma̰
ကာမသုတ်	kàma̰θoʊʔ
ကာယ	kəja̰
ကာယကံ	kàjəgàɴ
ကာယပညာ	kàja̰pjɪ̀ɴɲà
ကာရန်	kəjàɴ
ကာရာအိုကေ	kàɹàʔòkè
ကာလ	kàla̰
ကာလဝမ်း	kàləwʊ́ɴ
ကာလသား	kàləðá
ကာလသားရောဂါ	kàla̰θájɔ́gà
ကာလာမသုတ်	kàlàma̰θoʊʔ
ကာလီဖိုးနီးယား	kàlìpʰóníjá
ကား	ká
ကားဂိတ်	kágeɪʔ
ကားမှတ်တိုင်	kám̥aʔtàɪɴ
ကားရုံ	kájòʊɴ
ကိစ္စ	keɪʔsa̰
ကိတ်	keɪʔ
ကိတ်ဗာဒီ	keɪʔbədì
ကိတ်မုန့်	keɪʔmo̰ʊɴ
ကိန္နရာ	kèɪɴnəjà
ကိန္နရီ	kèɪɴnəjì
ကိန်း	kéɪɴ
ကိန်းရှင်	kéɪɴʃɪ̀ɴ
ကိမိလဗေဒ	kḭmḭla̰bèda̰
ကိရိယာ	kəɹḭjà
ကိလေသာ	kḭlèθà
ကို	kò
ကို	gò
ကို	ɴ
ကို	ʔ
ကိုကာကိုလာ	kòkàkòlà
ကိုကို	kòkò
ကိုက်	kaɪʔ
ကိုက်လန်	kaɪʔlàɴ
ကိုင်	kàɪɴ
ကိုင်ရို	kàɪɴjò
ကိုဆိုဗို	kòsʰòbò
ကိုပင်ဟေဂင်	kòpɪ̀ɴhègɪ̀ɴ
ကိုဘော့	kòbɔ̰
ကိုမိုရို	kòmòɹò
ကိုယ့်ဥမှဥထင်	ko̰jʔṵm̥a̰ʔṵtʰɪ̀ɴ
ကိုယ်	kò
ကိုယ်စားလှယ်	kòjzəl̥ɛ̀
ကိုယ်စားလှယ်အဖွဲ့	kòjzəl̥ɛ̀ʔəpʰwɛ̰
ကိုယ်လုပ်တော်	kòloʊʔtɔ̀
ကိုယ်ဝန်	kòjwʊ̀ɴ
ကိုယ်ဝန်ဆောင်	kòjwʊ̀ɴsʰàʊɴ
ကိုယ်ဝန်ပျက်	kòwʊ̀ɴpjɛʔ
ကိုယ်ဝန်ဖျက်	kòwʊ̀ɴpʰjɛʔ
ကိုယ်ဝန်ရှိ	kòjwʊ̀ɴʃḭ
ကိုရင်	kòjɪ̀ɴ
ကိုရမ်ကျမ်း	kòɹàɴtɕáɴ
ကိုရိုနာဗိုင်းရပ်စ်	kòɹònàbáɪɴɹaʔs
ကိုရီးယား	kòɹíjá
ကိုလိုနီ	kòlònì
ကိုလိုနီဝါဒ	kòlònìwàda̰
ကိုလံဘို	kòlàɴbò
ကိုလံဘီယာ	kòlàɴbìjà
ကိုး	kó
ကိုးကန့်	kóga̰ɴ
ကိုးလ	kóla̰
ကီလိုဂရမ်	kìlògəɹàɴ
ကီလိုမီတာ	kìlòmìtà
ကီးမား	kímá
ကီးမားပလာတာ	kímápəlàtà
ကီးယက်	kíjɛʔ
ကုဋေ	gədè
ကုတ်	koʊʔ
ကုတ်ဟီးနာ	koʊʔhínà
ကုန်	kòʊɴ
ကုန်ကား	kòʊɴgá
ကုန်ကုန်	kòʊɴgòʊɴ
ကုန်စည်	kòʊɴzì
ကုန်တင်ကား	kòʊɴdɪ̀ɴgá
ကုန်ထုတ်သမဝါယမ	kòʊɴtʰoʊʔθəma̰wàjəma̰
ကုန်ပစ္စည်း	kòʊɴpɪʔsí
ကုန်ပဒေသာဆိုင်	kòʊɴbədèθàsʰàɪɴ
ကုန်ပို့လွှာ	kòʊɴpo̰l̥wà
ကုန်သည်	kòʊɴðè
ကုန်သည်ကြီး	kòʊɴðèdʑí
ကုန်သွယ်ရေး	kòʊɴθwɛ̀jé
ကုန်သွယ်ရေးသမဂ္ဂ	kòʊɴθwɛ̀jéða̰mɛʔga̰
ကုန်း	kóʊɴ
ကုန်းနှီး	kóʊɴn̥í
ကုန်းဘောင်	kóʊɴbàʊɴ
ကုန်းဘောင်ကြီး	kóʊɴbàʊɴdʑí
ကုဗ	kṵba̰
ကုဗ္ဘီး	koʊʔbí
ကုဗ္ဘီးတိုင်	koʊʔbídàɪɴ
ကုမုဒ	kṵmoʊʔda̰
ကုမ္ပဏီ	kòʊɴpənì
ကုလသမဂ္ဂ	kṵla̰θa̰mɛʔga̰
ကုလား	kəlá
ကုလားတန်	kələtàɴ
ကုလားထိုင်	kələtʰàɪɴ
ကုလားနို့	kələno̰
ကုလားပဲ	kələpɛ́
ကုလားဖြူ	kələpʰjù
ကုလားအုတ်	kələʔoʊʔ
ကုလားအော်	kələʔɔ̀
ကုသိုလ်	kṵθò
ကုသိုလ်ကံ	kṵðògàɴ
ကုသိုလ်ရှင်	kṵθòʃɪ̀ɴ
ကုံ	kòʊɴ
ကုံကုမံ	gòʊɴgəmàɴ
ကူ	kù
ကူညီ	kùɲì
ကူဖီ	kùpʰì
ကူရှင်	kùʃɪ̀ɴ
ကူလီ	kùlì
ကူဝိတ်	kùweɪʔ
ကူး	kú
ကူးစက်ရောဂါ	kúzɛʔjɔ́gà
ကူးတို့	gədo̰
ကူးတို့ဆိပ်	gədo̰zeɪʔ
ကူးပြောင်း	kúpjáʊɴ
ကူးပြောင်းဆဲကာလ	kúpjáʊɴsʰɛ́kàla̰
ကူးလောင်း	kúláʊɴ
ကေ	kè
ကေတုမဒီ	kètṵmədì
ကေသ	kèθa̰
ကေသာ	kèθà
ကော	kɔ́
ကော	gɔ́
ကောက်	kaʊʔ
ကောက်ညှင်း	kaʊʔɲ̊ɪ́ɴ
ကောက်ညှင်းပေါင်း	kaʊʔɲ̊ɪ́ɴbáʊɴ
ကောက်ညှင်းမှုန့်	kaʊʔɲ̊ɪ́ɴm̥o̰ʊɴ
ကောက်ရိုး	kaʊʔjó
ကောင်	kàʊɴ
ကောင်ငယ်	kàʊɴŋɛ̀
ကောင်စစ်ဝန်	kàʊɴsɪʔwʊ̀ɴ
ကောင်စစ်ဝန်ရုံး	kàʊɴsɪʔwʊ̀ɴjóʊɴ
ကောင်စီ	kàʊɴsì
ကောင်တာ	kàʊɴtà
ကောင်မ	kàʊɴma̰
ကောင်မငယ်	kàʊɴma̰ŋɛ̀
ကောင်မလေး	kàʊɴma̰lé
ကောင်း	káʊɴ
ကောင်းကင်	káʊɴgɪ̀ɴ
ကောင်းကင်ကြိုး	káʊɴgɪ̀ɴdʑó
ကောင်းကင်တမန်	káʊɴgɪ̀ɴtəmàɴ
ကောင်းကင်ဘုံ	káʊɴgɪ̀ɴbòʊɴ
ကောင်းကောင်း	káʊɴgáʊɴ
ကောင်းမှု	káʊɴm̥ṵ
ကောင်းရာသုဂတိ	káʊɴjàθṵgədḭ
ကောဋိ	kɔ́tḭ
ကောဋိပကောဋိ	kɔ́dḭpa̰kɔ́dḭ
ကောဏဂုံ	kɔ́nəgòʊɴ
ကောဏဂုံဘုရား	kɔ́nəgòʊɴpʰəjá
ကောဏ္ဍည	kɔ̀ndəɲa̰
ကောဏ္ဍညဘုရား	kɔ̀ndəɲa̰pʰəjá
ကောလာဟလ	kɔ́làha̰la̰
ကောလိပ်	kɔ́leɪʔ
ကောလိသိန်	kɔ́lḭθèɪɴ
ကောသလ	kɔ́θəla̰
ကော့စတာရီကာ	kɔ̰sətàɹìkà
ကော်	kɔ̀
ကော်ဇော	kɔ̀zɔ́
ကော်တွန်	kɔ̀tʊ̀ɴ
ကော်ပီ	kɔ̀pì
ကော်ပီစာအုပ်	kɔ̀pìsàʔoʊʔ
ကော်ပီသီချင်း	kɔ̀pìθətɕʰɪ́ɴ
ကော်ပြန့်	kɔ̀pja̰ɴ
ကော်ပြန့်ကြော်	kɔ̀pja̰ɴdʑɔ̀
ကော်ပြန့်စိမ်း	kɔ̀pja̰ɴzéɪɴ
ကော်ဖီ	kɔ̀pʰì
ကော်မတီ	kɔ̀mətì
ကော်ရည်ခေါက်ဆွဲ	kɔ̀jìkʰaʊʔsʰwɛ́
ကော်လာ	kɔ̀là
ကဲကုလ	kɛ́kṵla̰
ကဲ့	kɛ̰
ကံ	kàɴ
ကံကုန်	kàɴkòʊɴ
ကံကြမ္မာ	kàɴtɕəmà
ကံတော်ကုန်	kàɴtɔ̀kòʊɴ
ကံသုံးပါး	kàɴθóʊɴbá
ကံ့ကူတံ	ka̰ɴgùdàɴ
ကံ့ကော်	ga̰ɴgɔ̀
ကျ	tɕa̰
ကျက်	tɕɛʔ
ကျက်သရေ	tɕɛʔθəjè
ကျင်	tɕɪ̀ɴ
ကျင်ကြီး	tɕɪ̀ɴdʑí
ကျင်ချောင်း	tɕɪ̀ɴtɕʰáʊɴ
ကျင်စွယ်	tɕɪ̀ɴzwɛ̀
ကျင်း	tɕɪ́ɴ
ကျဉ်း	tɕɪ́ɴ
ကျဉ်းကျပ်	tɕɪ́ɴtɕaʔ
ကျည်	tɕì
ကျည်ကပ်	tɕìgaʔ
ကျည်ဖူး	tɕìbú
ကျနော်	tɕənɔ̀
ကျန်	tɕàɴ
ကျန်း	tɕáɴ
ကျန်းမာ	tɕáɴmà
ကျန်းမာရေး	tɕáɴmàjé
ကျန်းမာရေးပညာ	tɕáɴmàjépa̰ɲà
ကျပ်	tɕaʔ
ကျပ်သား	tɕaʔθá
ကျမ	tɕəma̰
ကျယ်	tɕɛ̀
ကျယ်ဝန်း	tɕɛ̀wʊ́ɴ
ကျာပွတ်	tɕàbʊʔ
ကျား	tɕá
ကျားကျားလျားလျား	tɕádʑájájá
ကျားကျုတ်	tɕádʑoʊʔ
ကျားထိုးခြင်း	tɕátʰódʑɪ́ɴ
ကျားမ	tɕáma̰
ကျားမျက်လုံး	tɕámjɛʔlóʊɴ
ကျားလက်သည်း	tɕálɛʔθɛ́
ကျားလျှာ	tɕáʃà
ကျားသစ်	tɕəθɪʔ
ကျိန္တလီ	tɕèɪɴta̰lì
ကျိန်း	tɕéɪɴ
ကျိပ်	tɕeɪʔ
ကျို	tɕò
ကျိုက္ခမီ	tɕaɪʔkʰəmì
ကျိုက်ထို	tɕaɪʔtʰò
ကျိုက်ထီးရိုး	tɕaɪʔtʰíjó
ကျိုက်မရော	tɕaɪʔməɹɔ́
ကျိုင်းတုံ	tɕáɪɴtòʊɴ
ကျိုး	tɕó
ကျီ	tɕì
ကျီး	tɕí
ကျီးကန်း	tɕígáɴ
ကျီးတာရာ	tɕítàjà
ကျီးနိုးချိန်	tɕínódʑèɪɴ
ကျီးအ	tɕíʔa̰
ကျုပ်	tɕoʊʔ
ကျုပ်တို့	tɕoʊʔto̰
ကျူးကျော်	tɕútɕɔ̀
ကျူးဘား	tɕúbá
ကျေနပ်	tɕènaʔ
ကျော	tɕɔ́
ကျောက်	tɕaʊʔ
ကျောက်ကပ်	tɕaʊʔkaʔ
ကျောက်ကျော	tɕaʊʔtɕɔ́
ကျောက်ကြီး	tɕaʊʔtɕí
ကျောက်ခေတ်	tɕaʊʔkʰɪʔ
ကျောက်ဂွမ်း	tɕaʊʔgʊ́ɴ
ကျောက်စာတိုင်	tɕaʊʔsàdàɪɴ
ကျောက်စိမ်း	tɕaʊʔséɪɴ
ကျောက်တူလုံး	tɕaʊʔtùlóʊɴ
ကျောက်နီ	tɕaʊʔnì
ကျောက်ပွင့်သုပ်	tɕaʊʔpwɪ̰ɴθoʊʔ
ကျောက်ဖရုံ	tɕaʊʔpʰəjòʊɴ
ကျောက်ဖြူ	tɕaʊʔpʰjù
ကျောက်မီး	tɕaʊʔmí
ကျောက်မီးသွေး	tɕaʊʔmíðwé
ကျောက်သင်ပုန်း	tɕaʊʔθɪ̀ɴbóʊɴ
ကျောင်း	tɕáʊɴ
ကျောင်းနေဖက်	tɕáʊɴnèbɛʔ
ကျောင်းသား	tɕáʊɴðá
ကျောင်းသုံးစာအုပ်	tɕáʊɴðóʊɴsàʔoʊʔ
ကျောင်းသူ	tɕáʊɴðù
ကျောပိုးအိတ်	tɕɔ́bóʔeɪʔ
ကျောရိုး	tɕɔ́jó
ကျော်	tɕɔ̀
ကျော်စွာ	tɕɔ̀zwà
ကျေး	tɕé
ကျေးဇူး	tɕézú
ကျေးဇူးတင်	tɕézútɪ̀ɴ
ကျေးဇူးတင်ပါတယ်	tɕézútɪ̀ɴbàdɛ̀
ကျေးဇူးပြု၍	tɕézúpjṵjwḛ
ကျေးဇူးရှင်	tɕézúʃɪ̀ɴ
ကျေးတော်မျိုး	tɕédɔ̀mjó
ကျဲ	tɕɛ́
ကျွတ်	tɕʊʔ
ကျွန်	tɕʊ̀ɴ
ကျွန်တော့်	tɕʊ̀ɴdɔ̰
ကျွန်တော်	tɕʊ̀ɴdɔ̀
ကျွန်တော်တို့	tɕʊ̀ɴdɔ̀do̰
ကျွန်တော်မျိုး	tɕʊ̀ɴdɔ̀mjó
ကျွန်မ	tɕʊ̀ɴma̰
ကျွန်မတို့	tɕʊ̀ɴma̰do̰
ကျွန်ုပ်	tɕənoʊʔ
ကျွန်း	tɕʊ́ɴ
ကျွန်းကလေး	tɕʊ́ɴgəlé
ကျွန်းကိုင်းမှီကိုင်းကျွန်းမှီ	tɕʊ́ɴkáɪɴm̥ìkáɪɴtɕʊ́ɴm̥ì
ကျွန်းစု	tɕʊ́ɴzṵ
ကျွန်းဆွယ်	tɕʊ́ɴzwɛ̀
ကျွမ်း	tɕwáɴ
ကျွမ်းကျင်သူ	tɕwáɴtɕɪ̀ɴðù
ကျွဲ	tɕwɛ́
ကျွဲကော	tɕwɛ́gɔ́
ကျွဲပြည့်စင်	tɕwɛ́pjḭzɪ̀ɴ
ကြက်	tɕɛʔ
ကြက်ခြေ	tɕɛʔtɕʰè
ကြက်ခြေထောက်	tɕɛʔtɕʰèdaʊʔ
ကြက်ခြေနီ	tɕɛʔtɕʰènì
ကြက်ခြေနီအသင်း	tɕɛʔtɕʰènìʔəθɪ́ɴ
ကြက်ဆင်	tɕɛʔsʰɪ̀ɴ
ကြက်ဆီထမင်း	tɕɛʔsʰìtʰəmɪ́ɴ
ကြက်ဆူ	tɕɛʔsʰù
ကြက်တူရွေး	tɕɛʔtùjwé
ကြက်တော	tɕɛʔtɔ́
ကြက်ဖ	tɕɛʔpʰa̰
ကြက်မ	tɕɛʔma̰
ကြက်မောက်	tɕɛʔmaʊʔ
ကြက်မောက်သီး	tɕɛʔmaʊʔθí
ကြက်သား	tɕɛʔθá
ကြက်သီးထ	tɕɛʔθéɪɴtʰa̰
ကြက်သီးမွေးညင်းထ	tɕɛʔθéɪɴmwéɲɪ́ɴtʰa̰
ကြက်သွန်	tɕɛʔθʊ̀ɴ
ကြက်သွန်နီ	tɕɛʔθʊ̀ɴnì
ကြက်သွန်ဖြူ	tɕɛʔθʊ̀ɴbjù
ကြက်သွန်မြိတ်	tɕɛʔθʊ̀ɴmjeɪʔ
ကြက်ဟင်းခါးသီး	tɕɛʔhɪ́ɴgáðí
ကြက်အူချောင်း	tɕɛʔʔùdʑáʊɴ
ကြက်ဦးတွန်	tɕɛʔʔútʊ̀ɴ
ကြခတ်ဝါး	tɕəkʰaʔwá
ကြငှန်း	tɕəŋ̊áɴ
ကြငှန်းတိုင်	tɕəŋ̊áɴdàɪɴ
ကြဉ်	tɕɪ̀ɴ
ကြည့်	tɕḭ
ကြည့်မြင်တိုင်	tɕḭmjɪ̀ɴdàɪɴ
ကြည့်ရှု	tɕḭʃṵ
ကြည့်ရှုသူ	tɕḭʃṵðù
ကြည်	tɕì
ကြည်	tɕɪ̀ɴ
ကြည်းတပ်	tɕídaʔ
ကြပ်	tɕaʔ
ကြမ္မာ	tɕəmà
ကြမ်း	tɕáɴ
ကြယ်	tɕɛ̀
ကြယ်ငါး	tɕɛ̀ŋá
ကြယ်စု	tɕɛ̀zṵ
ကြယ်တံခွန်	tɕɛ̀dəgʊ̀ɴ
ကြယ်နဂါး	tɕɛ̀nəgá
ကြယ်သီး	tɕɛ̀θí
ကြာ	tɕà
ကြာကြာ	tɕàdʑà
ကြာချည်	tɕàtɕʰì
ကြာစေ့	tɕàzḛ
ကြာဆံ	tɕàzàɴ
ကြာဆံသုပ်	tɕàzàɴθoʊʔ
ကြာညို့	tɕàɲo̰
ကြာသပတေး	tɕàθəpədə
ကြာသပတေးဂြိုဟ်	tɕàðəbədédʑò
ကြား	tɕá
ကြိမ်	tɕèɪɴ
ကြိယာ	kəɹḭjà
ကြိယာဝိသေသန	kəɹḭjàwḭθèθəna̰
ကြိုက်	tɕaɪʔ
ကြိုဆို	tɕòzò
ကြိုဆိုပါ၏	tɕòzòbàʔɛ̰
ကြို့	tɕo̰
ကြိုး	tɕó
ကြိုးကြာ	dʑódʑà
ကြိုးစင်	tɕózɪ̀ɴ
ကြိုးစား	tɕózá
ကြီး	tɕí
ကြီးကြီး	tɕídʑí
ကြီးမား	tɕímá
ကြေညာ	tɕèɲà
ကြေညာချက်	tɕèɲàdʑɛʔ
ကြောက်	tɕaʊʔ
ကြောင့်	dʑa̰ʊɴ
ကြောင်	tɕàʊɴ
ကြောင်ကလေး	tɕàʊɴgəlé
ကြောင်ထီး	tɕàʊɴdí
ကြောင်မ	tɕàʊɴma̰
ကြောင်လိမ်လှေကား	tɕàʊɴlèɪɴl̥ègá
ကြောင်လျှာ	tɕàʊɴʃà
ကြောင်အိမ်	tɕàʊɴʔèɪɴ
ကြောင်း	tɕáʊɴ
ကြော်	tɕɔ̀
ကြော်ငြာ	tɕɔ̀ɲà
ကြော်ငြာစာ	tɕɔ̀ɲàzà
ကြေး	dʑí
ကြေး	tɕé
ကြေးကြီး	tɕétɕí
ကြေးချွတ်ဆေး	dʑétɕʰʊʔsʰé
ကြေးငွေ	tɕéŋwè
ကြေးစည်	tɕézì
ကြေးနန်း	tɕénáɴ
ကြေးနီ	tɕénì
ကြေးမုံ	tɕémòʊɴ
ကြေးဝါ	tɕéwà
ကြေးအိုး	tɕéʔó
ကြံ	tɕàɴ
ကြံ့	tɕa̰ɴ
ကြံ့လျော်	tɕa̰ɴʃɔ̀
ကြွ	tɕwa̰
ကြွက်	tɕwɛʔ
ကြွက်နို့	tɕwɛʔno̰
ကြွက်သား	tɕwɛʔθá
ကြွင်း	tɕwɪ́ɴ
ကြွပ်	tɕʊʔ
ကြွယ်	tɕwɛ̀
ကြွား	tɕwá
ကြွေ	tɕwè
ကြွေး	tɕwé
ကွ	kwa̰
ကွက်	kwɛʔ
ကွင်း	kwɪ́ɴ
ကွင်းထိုးဖိနပ်	gwɪ́ɴdópʰənaʔ
ကွတ်	kʊʔ
ကွန်	kʊ̀ɴ
ကွန်ကရစ်	kʊ̀ɴgəɹɪʔ
ကွန်ဂရက်	kʊ̀ɴgəɹɛʔ
ကွန်ဂို	kʊ̀ɴgò
ကွန်ဒုံး	kʊ̀ɴdóʊɴ
ကွန်ပါ	kʊ̀ɴpà
ကွန်ပျူတာ	kʊ̀ɴpjùtà
ကွန်ပျူတာသိပ္ပံပညာ	kʊ̀ɴpjùtàðeɪʔpàɴpjɪ̀ɴɲà
ကွန်ဖရင့်	kʊ̀ɴpʰəɹɪ̰ɴ
ကွန်ဖြူးရှပ်	kʊ̀ɴpʰjúʃaʔ
ကွန်မြူနစ်	kʊ̀ɴmjùnɪʔ
ကွန်ရက်	kʊ̀ɴjɛʔ
ကွမ်ရင်	kwàɴjɪ̀ɴ
ကွမ်ရင်မယ်တော်	kwàɴjɪ̀ɴmɛ̀dɔ̀
ကွမ်းတောင်	kʊ́ɴdàʊɴ
ကွမ်းမွှေး	kʊ́ɴm̥wé
ကွမ်းယာ	kʊ́ɴjà
ကွမ်းရွက်ပင်	kʊ́ɴjwɛʔpɪ̀ɴ
ကွယ်လွန်	kwɛ̀lʊ̀ɴ
ကွာစေ့	kwàsḭ
ကွာရှင်း	kwàʃɪ́ɴ
ကွာလာလမ်ပူ	kwàlàlàɴpù
ကွီး	kwí
ကွေတာလန်း	kwètàláɴ
ကွေတီယို	kwètìjò
ကွေပင်ကား	kwèpɪ̀ɴká
ကွေလာပေး	kwèlàpé
ကွေလာပေးစ	kwèlàpésa̰
ကွေ့တီယို	kwḛtìjò
ကွေး	kwé
ကွဲ	kwɛ́
ကဿပ	kaʔθəpa̰
ကဿပဘုရား	kaʔθəpa̰pʰəjá
ခ	kʰa̰
ခက်	kʰɛʔ
ခက်ရင်း	kʰəjɪ́ɴ
ခကွေး	kʰa̰gwé
ခင်	kʰɪ̀ɴ
ခင်ပွန်း	kʰɪ̀ɴbʊ́ɴ
ခင်ဗျာ	kʰəmjà
ခင်ဗျာ့	kʰɪ̀ɴbja̰
ခင်ဗျား	kʰɪ̀ɴbjá
ခင်ဗျားတို့	kʰɪ̀ɴbjádo̰
ခင်မင်မှု	kʰɪ̀ɴmɪ̀ɴm̥ṵ
ခဏ	kʰəna̰
ခဏခဏ	kʰəna̰kʰəna̰
ခတ္တမန္ဒု	kʰaʔtəmàɴdṵ
ခတ္တိယ	kʰaʔtḭja̰
ခနုံထုပ်	kʰənòʊɴdoʊʔ
ခနုံအီ	kʰənòʊɴʔì
ခန္တီ	kʰàɴtì
ခန္ဓာ	kʰàɴdà
ခန္ဓာငါးပါး	kʰàɴdàŋábá
ခန္ဓာဗေဒ	kʰàɴdàbèda̰
ခန်တမာ	kʰàɴtəmà
ခန်း	kʰáɴ
ခပ်သိမ်း	kʰaʔθéɪɴ
ခမည်းတော်	kʰəmídɔ̀
ခမာ	kʰəmà
ခမာနီ	kʰəmànì
ခမောက်	kʰəmaʊʔ
ခယ်မ	kʰɛ̀ma̰
ခရင်း	kʰəjɪ́ɴ
