+	tasɯ
8兆円	hatsɯtɕoɯ eɴ
8冊	asːatsɯ
8時	hatsɯdʑi
9	kjɯɯ
9	kɯ
9月	kɯ̟ᵝgatsɯ̟ᵝ
9条	kjɯɯdʑoɯ
9行	kjɯɯ gjoɯ
@	atːo
a	a
aids（エイズ）	eizɯ
aji	a
arigato　(ありがとう)	aɾigatoo
arigato　(ありがとう)	aɾigatoɯ
arigato　(ありがとう)	aɾigatoː
arigato　(ありがとう)	aɾiotoɯ
arigato　(ありがとう)	aɾiɣatoɯ
arigato　(ありがとう)	ɾigatoɯ
arubumin（アルブミン）	aɾɯbɯmiɴ
asoko	a
ayamé	a
b５	bigo
c	i˥˩
c	ʃi˥˩
cカード	ɕiːkaːdo
e	e ĩ
ekkusu	ɯ
eスポーツ	iːsɯpoːtsɯ
eメール	hiimei̥ɾɯ
eメール	iimeːɾɯ
f	f
fujimi	ɕ
g	dʑi
gatt（ガット）	gaatːo
h	aʄ
h	ˈɛt
ha	a
hakkaku（八角）	hakːakɯ
hanmaru（半丸）	haɴmaɾɯ
i	i˥˩
iie	e
jânarisuto（ジャーナリスト）	dʑaːnaɾisɯto
jポップ	dʑpopːɯ
k	k
ka	a
kau(買う)	kaɯ
kishitsu_(気質)	kiɕitsɯ
l	ɛɾɯ
l	ˈɛlˈɛ
lサイズ	eɾɯsaizɯ
mサイズ	misaizɯ
n	n
npo	ɛ
n響	enɯkjoɯ
o	ˈɔ ˈɔ
ol（オーエル）	oɯeɾɯ
ou	u
pc内部のタイマー用ボタン電池が切れた	piːɕiː naibu no taimaː ɪoː botan dentɕi ga kireta
ringo	a
rマーク	rmaːkɯ
s	ˈɛf
socrates（ソクラテス）	sokɯɾatesɯ
spotify（スポティファイ）	spotifai
suburito（素振り刀）	sɯbɯɾitoɯ
twitterのトレンドに「月面着陸」とあったので	tsuitaː no torendo ni gatsumen tɕakuriku to attanode
ui	ui
uku	ɯ
uma（ユーマ）	jˈma
ushi	u
uターン	aɻˈtaːn˩˩˦
uターンします	jɯɯtaːɴɕimasɯ
uターンする	jɯtaːɴsɯɾɯ
uターンする	ɯtaːɴsɯɾɯ
wo	o
x86	ɯ
xデー	ɛkːɯsɯdeː
x染色体	ɛkːɯsɯzeɴɕokɯtai
x線検査	tekseɴ keɴsa
yahoo（ヤフー）	jafɯ
yen	m
yonex	j
y染色体ハプログループ	oiseɴɕokɯtaiapɯɾogɯɾɯːpɯ
~いけたら	ketaɾa
~ことか	otoka
~ことで	kotode
~したらしい	ɕitɾaɕːi
~しないといけない	ɕinaitoikenai
~たりしない	toɾiːnai
~てはいけません	teva ikemaseɴ
~てもいいです	temoiidesɯ
~とよく合う	tojokɯaoɯ
~ないことにしよう	naikotoniɕijoː
~に参加する	nisaɴkasɯɾɯ
~はいけない	va ikenai
~よりではない	nanijoɾideva nai
~連れ	zɯɾeː
¥	en
­クリケット	kɯɾiketːo
½　(２分の１)	nibɯɴnoitɕi
×	batsɯ
×	peke
α	aɾɯɸa
α-ヘリックス	aɾɯɸaheɾikːɯsɯ
α-リノレン酸	aɾɯɸaɾinoɾeɴsaɴ
α-ｈｅｌｉｘ	aɾɯɸaheɾikːɯsɯ
αらせん	aɾɯɸaɾaseɴ
αリノレン酸	aɾɯɸaɾinoɾeɴsaɴ
α分類学	aɾɯɸabɯɴɾɯigakɯ
α化	aɾɯɸaka
α化米	aɾɯɸakamai
α崩壊	aɾɯɸahoɯkai
α波	aɾɯɸaha
α米	aɾɯɸamai
α粒子	aɾɯɸaɾjɯɯɕi
α線	aɾɯɸaseɴ
α螺旋	aɾɯɸaɾaseɴ
β	beːta
β	beːtaː
β	beːtːa
β	vita
β-カロチン	betakaɾotɕiɴ
β-カロチン	beːtakaɾotɕiɴ
β-カロテン	betakaɾoteɴ
β-カロテン	beːtakaɾoteɴ
β-カロテン	beːtakaɾɔteɴ
βカロチン	betakaɾotɕiɴ
βカロチン	beːtakaɾotɕiɴ
βカロテン	betakaɾoteɴ
βカロテン	beːtakaɾoteɴ
β崩壊	beːtahoɯkai
β波	beːtaha
β版	beːtabaɴ
β線	beːtaseɴ
γ	gamma
γ	gaɴma
γ	gaɴmaː
γ-オリザノール	gaɴmaoɾizanoːɾɯ
γアミノ酪酸	gaɴmaaminoɾakɯsaɴ
γリノレン酸	gaɴmaɾinoɾeɴsaɴ
γ分布	gaɴmabɯɴpɯ
γ崩壊	gaɴmahoɯkai
γ線	gaɴmaseɴ
δ	deɾɯta
ε	epɯɕiɾoɴ
ε	ipɯɕiɾoɴ
ζ	zeːta
η	eːta
η	iːta
θ	teːta
θ	ɕiːta
θ理論	ɕiːtaɾiɾoɴ
θ関数	teːtakaɴsɯɯ
ι	iota
κ	kapːa
κ	kapːaː
λ	ɾamɯda
μ	mjɯː
μ粒子	mjɯːɾjɯɯɕi
ν	njɯː
ξ	gɯzai
ξ	kɯsai
ξ	kɯɕiː
ο	omikɯɾoɴ
π	pai
π中間子	paitɕɯɯkaɴɕi
π電子	paideɴɕi
ρ	ɾoː
σ	ɕigɯma
σ電子	ɕigɯmadeɴɕi
τ	taɯ
τ粒子	taɯɾjɯɯɕi
υ	jɯpɯɕiɾoɴ
υ	oipɯɕiɾoɴ
υ	ɯpɯɕiɾoɴ
φ	ɸai
φ	ɸiː
χ	kai
χ	kiː
ψ	pɯsai
ψ	pɯɕiː
ω	omega
‎ザクロ	zakɯɾo
‎パズル	pazɾu
…ながら（も）	nagara
…ながら（も）	ngaɾa
…にひきかえ	niçikoe
…に旅に来てください	nitabinikitekɯdasai
※	komedʑiɾɯɕi
※印	komedʑiɾɯɕi
←	jadʑiɾɯɕi
↑	jadʑiɾɯɕi
→	jadʑiɾɯɕi
↓	jadʑiɾɯɕi
△	saɴkakɯ
○	maɾɯ
○×	maɾɯbatsɯ
○×テスト	maɾɯbatsɯtesɯto
○○	maɾɯmaɾɯ
◎	nidʑɯɯmaɾɯ
⺮（たけかんむり）	takekaɴmɯɾi
⼈だ	dʑiɴda
〃	onadʑi
〃	onadʑikɯ
々	doɯnodʑiteɴ
々	kɯɾikaeɕi
々	noma
々	onadʑi
々	onadʑikɯ
〆	ɕime
〆る	ɕimeɾɯ
〆切	ɕimekiɾi
〆切り	ɕimekiɾi
〆切る	ɕimekiɾɯ
〆切日	ɕimekiɾibi
〆粕	ɕimekasɯ
〇	maɾɯ
〇×	maɾɯbatsɯ
〇×（まるばつ）	maɾɯbatsɯ
〇〇	maɾɯmaɾɯ
「expand our planet expand our future」というビジョンが書かれていました	ikspend aur plenit ikspend aur fjutɕr to iu bidʑon ga kaka rete imaɕita
「です」の活用	desɯnokatsɯjoɯ
「ほらね！」	oɾane
「ノ」、「木」です。　（禾）	nokidesɯ
「ヒ」と「シ」	çitoɕi
「ム」は二画です	mva nikakɯdesɯ
「九」は「ノ」から書き始めます。	kjɯɯɯanokaɾakakihadʑimemasɯ
「九」は二画です。	kjɯɯva nikakɯdesɯ
「人類の生活圏を宇宙に広げ	dʑinrui no seikatsu-ken o utɕuː ni hiroge
「口」の書き方	kɯtɕinokakikata
「各」の書き方	kakɯnokakikata
「地獄」の書き方	tɕigokɯnokakikata
「学ぶ」の連体形	manabɯnoleɴtaikei
「寝」の書き方	ɕiɴnokakihata
「寺」の書き方	teɾanokakikata
「幸」の書き順	koːnokakidʑɯɯ
「弓」は三画です。	jɯmiva saɴkakɯdesɯ
「志」の書き方	ɕi okakikata
「日」に「目」です。（冒）	çinimeidesɯ
「検索」ボタン	geɴsakɯbotaɴ
「痛い」の語幹	itainokokaɴ
「順」の書き方	dʑɯɴ okakikata
『すばらしい新世界』	sɯbaɾaɕiiɕiɴsekai
〒	jɯɯbiɴ
〜あがる	agaɾɯ
〜かのようだ	kanojoɯda
〜かのように	kanojoɯni
〜からって	kaɾatːe
〜からといって	kaɾatoitːe
〜か所	kaɕo
〜がありません	gaaɾimaseɴ
〜するに忍びない	sɯɾɯniɕinobinai
〜せいで	seːde
〜た形	takeː
〜だけでなく	dake denakɯ
〜って言ってた	teitːeta
〜ていました	teimaɕita
〜ています	teimasɯ
〜ていません	teimseŋ
〜てならない	tenaɾanai
〜てまいる	temai̥ɾɯ
〜でござる	degozaɾɯ
〜で決まっていました	dekimatːeimaɕita
〜ということになる	toɪuːkotoninaɾɯ
〜と書いてある	tokaiteaɾɯ
〜と称して	toʃoɯɕite
〜ないうちに	naikotɕini
〜ないこともない	naikotomnaj
〜ないと	naito
〜なのか？	naoka
〜にかいます	nikaimasɯ
〜にします	niɕimasɯ
〜にすれば	nisɯɾeba
〜に伝言してもらう	nideɴgoɴɕitemɾau
〜に同行する	nidoɯkoɯsɯɾɯ
〜に好意を持つ	nikoːiomtsɯ
〜に決まっている	nikimatːeiɾɯ
〜に苦情を寄せる	nikɯdʑoɯ ojoseɾɯ
〜に適した	nitekiɕita
〜のに対して	onitaiɕite
〜のもとになる	nomtoninaɾɯ
〜の候	nokoː
〜の分際で	nobɯɴsaide
〜ふしがある	fɯɕigaaɾɯ
〜ました	maɕita
〜ました	moɕita
〜ましだ	maɕida
〜ましょうか	maɕioːka
〜ませんでした	aseɴdeɕita
〜をききます	oɯkikimasɯ
〜をきっかけにして	okikkeniɕite
〜をきています	okiteimasɯ
〜を占める	oɕimeɾɯ
〜を痛める	oitameɾɯ
〜体	tɕi
〜問目	mm
〜宛て	ate
〜年になります	neɴninaɾimasɯ
あ	a
あ	œ̃n
あぁ	aː
ああ	aa
ああ	aː
ああ	ɑː
ああ	ˈa
ああいう	aaiɯ
ああいう男	aeɪuːotoko
ああいう風に	aaiɯɸɯɯni
ああいった	aaitːa
ああした	aaɕita
ああして	aaɕite
ああして	aɾɯɕite
ああしろこうしろ	aaɕiɾokoɯɕiɾo
ああそうそう	aasoɯsoɯ
ああだこうだ	aadakoɯda
ああだこうだ言っても	aːda koːda itte mo
ああでもないこうでもない	aademonaikoɯdemonai
ああなると思う	aːnaɾɯtoomoɯ
ああやって	aajatːe
ああやって	aːjatːe
ああゆう	aajɯɯ
ああん	aaɴ
ああ見えても	aamietemo
ああ言えばこう言う	aaiebakoɯiɯ
ああ言えばこう言う子	aaiebakoːjɯːko
あい	ai
あい	aj
あいうえ	a iu˥˧
あいうえお	aiɯeo
あいうえお	auɯeo
あいうえお表	aiɯeoçjoɯ
あいうえお順	aiɯeodʑɯɴ
あいか	aika
あいきょう	aikjoɯ
あいこ	ai kːo
あいこく	aikokɯ
あいさ	aʃa
あいさいか	aisaikɯ
あいさつ	aizatsɯ
あいさつする	aisatsɯsɯ
あいさつのとき握手する	aisatsɯ notokiakɯɕɯsɯɾɯ
あいさつもしない。	ai satsɯmɕinai
あいさつ回り	aisatsɯmaɰᵝaɾi
あいさつ回り	aiɕitsɯmaɰᵝaɾi
あいさつ回り	aɾɯsatsɯmaɰᵝaɾi
あいしている	aiɕiteiɾɯ
あいしてる	aiɕteɾɯ
あいします	aiɕimasɯ
あいじょう	aɯdʑoɯ
あいする	aɪ sɯɾɯ
あいず	aizɯ
あいそ	aisˌo
あいそ笑	aisoɰᵝaɾai
あいそ笑い	aisoɰᵝaɾai
あいた	aita
あいたた	aitata
あいたっ	aitaっ
あいた口が塞がらぬ	aitakɯtɕigaɸɯsagaɾanɯ
あいた口も塞がらぬ	aitakɯtɕimoɸɯsagaɾanɯ
あいだ	ai̯dˈa
あいだる	aidaɾɯ
あいつ	aitsu
あいつのセンスの悪さにはウンザリするよ	aitsu no sensunovaru saniva unzari suru ɪo
あいつの口車に乗るな	aitsunokɯtɕigɯɾɯma ninoɾɯna
あいつの油を絞ってやった	aitsu no abura o ɕibotte ɪatta
あいつはエゴイストだ	aitsɯva egoisɯtoda
あいつは笑った	aitsɯhaɰᵝaɾatːa
あいつら酔い潰れちゃった	aitsu ra ɪoitsubure tɕatta
あいています	aiteimasɯ
あいてにとって不足はない	aitenitotːeɸɯsokɯhanai
あいにくですが	ainikudesuga
あいの	aino
あいのこ	ainokɯ
あいの子	ainoko
あいの手	ainote
あいの風	ainokaze
あいぶする	ã̠ibɯ̟ᵝsɯ̟ᵝɾɯ̟ᵝ
あいまい	ai̠mãĩ̥
あいまい	ajmai
あいまいな	a imaina
あいまい制御	aimaiseigjo
あいまい度	aimaido
あいまい性	aimaisei
あいまい検索	aimaikeɴsakɯ
あいまい理論	aimaiɾiɾoɴ
あいまい論理	aimaiɾoɴɾi
あいまい量	aimaiɾjoɯ
あいません	aiimseɴ
あいまって	aimate
あいまみえる	aimamieɾɯ
あいや	aija
あいり	airi
あい変らず	aikaɰᵝaɾazɯ
あい変わらず	aikaɰᵝaɾazɯ
あい昧	aimai
あい路	aiɾo
あう	aɴ
あうんのこきゅう	aɯɴnokokjɯɯ
あうんの呼吸	aɯɴnokokjɯɯ
あえか	aeka
あえか	ajeka
あえぎ声	aegigoe
あえて　うれしい　です	aeteɯɕiidesɯ
あえて甘える	aete amaeɾɯ
あえて言いますが	aete iːmasuga
あえて逆らおうとする人はだれもいない	ae tesakaraoː to suru hitova dare mo inai
あえの風	aenokaze
あえ物	aemono
あお	au
あお	aˈo
あおい	aoi
あおがら	aogaɾa
あおぎ見る	aogimiɾɯ
あおぐ	aogɯ
あおさ	aɔsa
あおた	aota
あおなぎ	aonagi
あおなじみ	aɯnadʑimi
あおば	aoba
あおば	aobã
あおば	aɫba
あおばせせり	aobaseseɾi
あおり止め	aoɾidome
あおり立てる	aoɾitateɾɯ
あお向け	aomɯke
あお向けに寝ると	aomuke ni neru to
あかい	akai
あかい	akaj
あかがね	a ka kˈɛne
あかし暮らす	akaɕikɯɾasɯ
あかちゃんがいるときは	aka tɕan ga iru tokiva
あかね	akane
あかね色	akaneiɾo
あかの他人	akanotaniɴ
あかはた	aqaħata
あかまた	akamata
あかまち	akamatɕi
あからさま	kaɾasama
あからさまな	a̠k̟ᵝaɾa samãːna
あかり	akari
あかるい	akaɾɯi
あかん	atan
あかん	a˥˥kã˥˥
あかんがな	akaɴ gaɾa
あかんで	ikaɴde
あかんべ	akaɴbe
あかんべい	akaɴbei
あかんべえ	akaɴbee
あかんべー	akaɴbeː
あか抜ける	akanɯkeɾɯ
あがぁな	agaana
あがく	aɣakɯ
あがめる	a̠gã̠meɾɯ
あがり	aɣ̞aɾi
あがり	aɾi
あがり性	agaɾiɕoɯ
あがり湯	agaɾijɯ
あがり牌	agaɾipai
あがり症	agaɾiɕoɯ
あがり目	agaɾime
あき	akˈi
あきうど	akjudo
あきこ	akiko
あきたこまち	akitakomatɕi
あきたん	akite
あきっぽい	akipːoi
あきつ丸	akitɕɯmaɾɯ
あきほ	akiho
あきまへん	akimaheɴ
あきみ	akimi
あきみつ	akimitsu
あきやすみ	akijasɯmj
あきよ	akijo
あきよし	akijoɕi
あきら	akirɑ
あきらかだ	akirakada
あきらめた方が良いのではないでしょうか	akirameta hoːga ɪoi nodevanaideɕoː ka
あきらめる	akimeɾɯ
あきらめる	akiɾameɾɯ
あきる	taijiɾɯ
あきる野	akeɾɯno
あきれて物が言えない	akiɾetemonogaienai
あきれる	akiɾeɾɯ
あきれ返る	akiɾekaeɾɯ
あきれ顔	akiɾegao
あきんど	akinto
あき亀山	aikikamejama
あき場所	akibaɕo
あく	a
あくあく	akɯakɯ
あくが強い	akɯgatsɯjoi
あくせく	akɯ̟ᵝsɛkɯ̟ᵝ
あくどい	akdoi
あくどい	akɯdoi
あくどいやり方で儲けた金	akɯdoiaɾihoɯdemoɯketakane
あくどく	akɯdokɯ
あくの強い	akɯnotsɯjoi
あくび	a kɔbˈi
あくび	a kə
あくび	akabi
あくび	akːb
あくび	akːbi
あくまで	akɯmaɾe
あくまで	aɾa mde
あくまでも	akɯmdemo
あくまでもチャンスボタンは遊戯台での演出を楽しむためのものである	akumademo tɕansu botanva ɪuːgi dai de no enɕutsu o tanoɕimu monodearu
あくまで理論上では	akumade riron dʑoːdeva
あくまで退路を断つだけの存在	akumade tairoːtatsu dake no sonzai
あくる日	akɯɾɯçi
あくを取る	akɯotoɾɯ
あく促	akɯsekɯ
あく抜き	akɯnɯki
あく洗い	akɯaɾai
あぐう	agɯɯ
あぐねる	aɾgɯneɾɯ
あぐら鼻	agɯɾabana
あぐり	aguri
あけおめ	a keome
あけおめ	akeome
あけおめことよろ	akeomekotojoɾo
あけすけ	akestʃɛ
あけっ放し	akepːanaɕi
あけて	akete
あけない	akeːnai
あけます	akeːmasɯ
あけみ	akemi
あける	akeːɾɯ
あけ烏	akegaɾasɯ
あげあげ	ageage
あげくの果て	agekɯnohate
あげた	aɾigeta
あげつらう	agetɕiɾau
あげました	gemaɕita
あげます	ageimasɯ
あげる	aɴeɾɯ
あげる時に	agetokini
あげ物	agemono
あげ足とり	ageaɕitoɾi
あげ足取り	ageaɕitoɾi
あげ間	agemaɴ
あこう鯛	akoɯdai
あこや	akoja
あご	ago
あご	aɣ̞o
あごが干上がる	agogaçiagaɾɯ
あごで人を使う	agodeçitootsɯkaɯ
あごで使う	agodetsɯkaɯ
あごひげがあるだけで	agohige ga aru dake de
あご割れ	agoɰᵝaɾe
あさ	asˌa
あさがお	a saˈdãom
あさがお	asagau̯
あさぎり型護衛艦	asagiɾigatagoeikaɴ
あさごはん	asagohan
あさだ	asada
あさって彼にここへ来てもらうつもりです	asatte kare ni koko e kite morau tsumoridesu
あさひ	asaçi
あさひこ	asahiko
あさま山荘事件	asamasaɴsoɯdʑikeɴ
あさみ	asami
あさ湯	asajɯ
あさ飯	asahaɴ
あさ飯	asameɕi
あさ飯	asamɕi
あざ	-aza
あざけった	azaketːa
あざとい	azatoi
あざとい	azatoin
あざまる水産	dzmaɾɯsɯisaɴ
あざむく	a̠z̠m̩kɯ
あざーす	azaːsɯ
あざーっす	azaːsːɯ
あざ笑う	a zaɰᵝɾau
あざ笑う	azaɰᵝaɾaɯ
あしからず	aɕikaɾazɯ
あしきり	aɕikiɾi
あしたの授業を欠席させていただいてよいでしょうか	aɕita no dʑugjoː ke sseki sa sete itadaite ɪoideɕoː ka
あしらい	aɕiɾai
あしらい	aɕiɾoi
あしらう	aɕiɾaɯ
あしらう	aɾiɾao
あし毛	aɕige
あじ	azʑi
あじきない	adʑikinaio
あじさい	adʒsai
あじさい	aɴisai
あじゃじゃしたー	adʑadʑaɕitaː
あじゃぱあ	adʑapaa
あすと長町	a sɯtonagamatɕi
あすの今ごろ	asu no imagoro
あすみ	asumi
あずさ	azusa
あずま	azuma
あずま屋	azɯmaja
あずみ	azumi
あせ	asˌe
あせって仕事を仕上げようとすれば	asatte ɕigoto o ɕiageɪoːt osureba
あせも	asemɒː
あせらずに	aseɾa zɯni
あぜんとする	azeɴto sɯoɾɯ
あぜ道	azemitɕi
あそこ	a sɾɯ
あそこのあのカメラマンは	asoko no ano kameramanva
あそこまで	aɾɯkomade
あそばせ言葉	asobasekotoba
あそび女	asobime
あそぶ	asobo
あそぶ	asobɯ
あたう限り	ataɯkagiɾi
あたかも	atakamon
あたかも好し	atakamojoɕi
あたくし	atakɯ
あたご型護衛艦	atagogatagoeikaɴ
あたし	vataɕi
あたしたち	vataɕitatɕi
あたしら	vataɕiɾa
あたたかい	atatakai
あたたかくありません。	atatakaɯoɾimaseɴ
あたふた	atafta
あたふた	atavta
あたふた	ataɸɯta
あたぼう	ataboɯ
あたぼう	tɕoɯ taboɯ
あたぼうよ！	atːabuju
あたまがいいひとです	ata magaiihto desɯ
あたま来る	atamakɯɾɯ
あたらしく	hataɾaɕikɯ
あたりきしゃりき	ataɾikiɕaɾɪki
あたりを見まわしたが	atari o mi mavaɕitaga
あたり一帯	ataɾiitːai
あたり一面	ataɾiitɕimeɴ
あたり一面	ataɾiːimeɴ
あたり前	ataɾimae
あたり構わず	ataɾikamaɰᵝazɯ
あたる	ataru
あだ事	adagoto
あだ名	a da na
あだ名	adana
あだ名をつける癖がある	adanaotsukeru kusegaːru
あだ花	adabana
あだ討ち	adaɯtɕi
あちこち	atɕikotɕi
あちこち行き交う	atɕiotɕi ikikaɯ
あちゃー	atɕaː
あちゃー	a˥˥tɕaʔ˨
あちら	tɕiɾa
あちらこちら	atʃiɾa kotʃiɾa
あちらこちらへ行く	atɕiɾakotɕiɾaheɾɯ
あちらこちらを目で見る	atɕiɾakotɕiɾaomɯdemiɾɯ
あちらです。	atɕi ɾadesɯ
あちらへつき次第	atɕira e tsuki ɕidai
あちら立てればこちらが立たぬ	atɕiɾatateɾebakotɕiɾagatatanɯ
あっ	aっ
あっ	wɒt
あっ	ˈa
あっかんべえ	akːaɴbee
あっかんべー	akːaɴbeː
あっけない	aɾkenai
あっけなく	akːkenakɯ
あっけなく	atːkenakɯ
あっけなくて	akːkenakɯte
あっけなく除名処分されてしまう	akkenaku dʑomeːɕ obunsa rete ɕimau
あっけにとられる	atːkenitoɾaɾeɾɯ
あっけに取られる	akːenitoɾaɾeɾɯ
あっけらかんと	akːeɾakaɴto
あっこ	akːo
あっさり	asˈsˈɐlˈi
あっさり	asːaɾi
あっさり	aːsaɾi
あっさり断られると思いきや	assari kotovara reru to omoiki ɪa
あっし	aɾɕi
あっせん	asˈsen
あっせん業者	asːeɴgjoɯɕa
あっそ	asːo
あったかかった	atːakaotːa
あったことも考えられる	atta koto mo kangae rareru
あったとしても	atta to ɕite mo
あったまくる	aotːamakɯ
あったま来る	atːamakɯɾɯ
あったりまえ	atːaɾimae
あっち	atɕi
あっちゃ	atɕːa
あっち系	atɕːikei
あっち行け	atɕːiike
あって	aɾte
あってこその	atːekosono
あってなきがごとき	atːenakigagotoki
あってなきが如し	atːenakigagotɕi
あっての	atːeno
あっての	aɾɯtːe no
あっと	atːo
あっというま	atːojɯm
あっという間	atːoiɯma
あっという間	atːojuːma
あっという間に	atːoiɯmani
あっとゆう間	a tːtoɪuːma
あっとゆう間	atːojɯɯma
あっとゆう間に	atːojɯɯmani
あっと言う間	atːoiɯma
あっと言う間	atːojɯɯma
あっと言う間に	atːoiɯmani
あっと言う間に	atːoiɯɯmani
あっと言う間に	atːojɯɯmani
あっと言う間に	atːoɪuːma ni
あっと言う間に時間過ぎちゃうんだよね	attoɪuːmani dʑikan sugi tɕaunda ɪo ne
あっと言う間に終わってしまった	attoɪuːmani ovatte ɕimatta
あっと言わせる	atːoiɰᵝaseɾɯ
あっはっは	ahːahːa
あっぱっぱ	apːapːa
あっぷあっぷ	apːɯapːɯ
あっぽ	apːo
あっ倒	atːoɯ
あっ制	asːei
あっ勝	aɕːoɯ
あっ化	akːa
あっ搾	asːakɯ
あっ旋	asːeɴ
あっ死	aɕːi
あっ殺	asːatsɯ
あっ気	akːe
あっ砕	asːai
あっ縮	aɕːɯkɯ
あっ！	a
あつかましいその子は	atsukamaɕiː sonokova
あつき	atsuki
あつこ	atsuko
あつっ	atsɯ
あつまる	aɾsɯmaɾɯ
あつめます	atsɯmeasɯ
あつめる	a̠tsɯmeɾɯ
あつらえ向き	atsɯɾaemɯki
あてずっぽう	ate zupːo
あてずっぽう	atezɯkːpɯ
あてどなくさまよう	ate donakɯsama joɯ
あてどなくさまよう人	ate dnakɯsamajoɯdʑiɴ
あてなき旅	atenakitabi
あてにならない	ate ninaɾanai
あてはまる	ate hamaɾɯ
あてはめる	ate hameɾɯ
あて先	aitesaki
あて先	atesaki
あて先変更	atesakiheɴkoɯ
あて名	atena
あて外れ	atehazɯɾe
あて字	atedʑi
あて馬	ateɯma
あで姿	adesɯgata
あと	a tˈo
あと	ato
あとちょっとのところで	atotɕotːonotokooɾde
あとでその原因が	ato de sono genin ga
あとで連絡してね	atodeɾeɴakɯɕite ne
あとはそこまで難しくないです	atova soko made muzukaɕikunaidesu
あとはよろしく	atova jɾoɕikɯ
あと一台パソコンを購入する君の案は	ato itɕi dai pasokon o koːɲuː suru kimi no anva
あと一歩	atoipːo
あと口	atokɯtɕi
あと知識がない人にわかりやすく解説するのが	ato tɕiɕikiga nai hitonivakari ɪasuku kaisetsu suru no ga
あと３０分の猶予が与えられた	ato san dʑu ppun no ɪuːɪo ga atae rareta 
あと５分！	atogɯɸɯɴ
あどけない	adokenai
あな	ana
あない	anai
あなじ	anadʑi
あなじ風	anadʑikaze
あなぜ	anaze
あなぜ風	anazekaze
あなた	aot
あなた	joː
あなたが	anata ga
あなたがいないと、つまらない。	anatagainaito tsɯmaɾanai
あなたがこの分野の第一人者だと伺いました	anata ga kono bunɪa no daiːtɕininɕada to ukagaimaɕita
あなたがご意見を述べたものがありましたら	anata ga go iken o nobeta mono ga arimaɕitara
あなたがた	anata gakːa
あなたが本当に好きです。	anatagahoɴtoɯniɕokidesɯ
あなたが英語を習得するには	anata ga eːgo o ɕuːtoku suruniva
あなたが貸して下さった本が	anata ga kaɕite kudasatta hon ga
あなたが！？	aotaga
あなたたち	anatatɕi
あなただけを愛しています	aotadakeoaiɕiteimasɯ
あなただって	aotadate
あなたなしでは生きていけない。	anatanaɕdehaikiteikenai
あなたなら出来ますよ	anatanara dekimasu ɪo
あなたに	aˈnataˑ ni
あなたにお見せしましょう	anata ni o mise ɕimaɕoː
あなたにしばらく待ってもらいたいと思っています	anata ni ɕibaraku matte moraitai to omotte imasu
あなたに会いたがっている男性がいる	anata ni aita gatte iru danseː ga iru
あなたの	anatano
あなたのこと大好き	aotanootodaikoɯki
