abadanlıq	ɑbɑdɑnɫɯχ
bağban	bɑɣbɑn
bağ	bɑɣ
bağır	bɑɣɯr
bağırmaq	bɑɣɯrmɑχ
bağırsaq	bɑɣɯrsɑχ
bağışlamaq	bæːʃlæmɑχ
bağışlamaq	bɑːʃlɑmɑχ
bağışlamaq	bɑɣɯʃɫɑmɑχ
bağışlamaq	bɑɣɯʃtɑmɑχ
bağlama	bɑɣɫɑmɑ
bağlamaq	bɑɣɫɑmɑχ
bağlanmaq	bɑɣɫɑmːɑχ
bağlanmaq	bɑɣɫɑnmɑχ
bağlantı	bɑɣɫɑntɯ
bağlı	bɑɣlɯ
baha	bɑhɑ
bahadır	bɑhɑdɯr
bahalı	bɑhɑɫɯ
bahar	bɑhɑr
bakir	bɑːcir
bakir	bɑːtʃir
bakirə	bɑːciræ
bakirə	bɑːtʃiræ
bakı	bɑcɯ
balaban	bɑɫɑbɑn
bala	bɑɫɑ
balaca	bɑɫɑdzɑ
balaca	bɑɫɑdʒɑ
balalayka	bɑɫɑɫɑjkɑ
balaq	bɑɫɑx
bal	bɑɫ
baldız	bɑɫdɯz
balı	bɑːɫɯ
balıq	bɑɫɯx
balıqçı	bɑlɯχtsɯ
balıqçı	bɑlɯχtʃɯ
balış	bɑɫɯʃ
balışüzü	bɑɫɯʃyzy
baltalamaq	bɑltɑlɑmɑχ
bandaj	bɑndɑʒ
bandotdel	bɑndɑtdel
bandotdel	bɑndotdel
bani	bɑːni
baqaj	bɑgaʒ
baqajnik	bɑgaʒnic
barama	bɑrɑmɑ
barədə	bɑːrædæ
bariqa	bɑrigɑ
barı	bɑrɯ
barışmaq	bɑrɯʃmɑχ
barmaq	bɑrmɑχ
barmaqlamaq	bɑrmɑɣlɑmɑχ
barmaqlıq	bɑrmɑɣɫɯχ
baron	bɑron
baş	bɑʃ
başçı	bɑʃtsɯ
başçı	bɑʃtʃɯ
başdaşı	bɑʃdɑʃɯ
basdırmaq	bɑsdɯrmɑχ
basılmaz	bɑsɯɫmɑz
başında	bɑʃɯndɑ
basketbolçu	bɑsketboɫtsu
basketbolçu	bɑsketboɫtʃu
başlamaq	bɑʃɫɑmɑχ
başlamaq	bɑʃtɑmɑχ
başlanğıc	bɑʃɫɑnɣɯdz
başlanğıc	bɑʃɫɑnɣɯdʒ
başlanğıc	bɑʃtɑnɣɯdz
başlanğıc	bɑʃtɑnɣɯdʒ
basmaq	bɑsmɑχ
başqa	bɑʃgɑ
başqa	bɑʃkɑ
başsağlığı	bɑʃsɑɣɫɯɣɯ
bataq	bɑtɑχ
baxmaq	bɑχmɑχ
baxmayaraq	bɑχmɑjɑrɑχ
baxmayaraq	bɑχmɯjɑrɑχ
baxtalamaq	bɑχdɑɫɑmɑɣ
bayağı	bɑjɑɣɯ
bayaq	bɑjɑχ
bayat	bɑjɑt
bayquş	bɑjguʃ
bayquş	bejɣuʃ
bayraq	bɑjrɑχ
bazarlıq	bɑzɑrːɯx
bazarlıq	bɑzɑrɫɯx
bazlıq	bɑzdɯχ
bazlıq	bɑzɫɯχ
beh	bej
belə	belæ
belibağlı	belibɑɣɫɯ
benzin	benzin
beşbarmaq	beʃbɑrmɑχ
beşbetər	beʃbetær
beşbetər	beʃpætær
beşik	beʃiç
beşik	beʃij
beşik	beʃik
beşinci	beʃindʒi
betər	betær
beyin	bein
beyin	bejin
beynəlxalq	bejnælχɑlg
beynəlxalq	bejnælχɑlχ
beynəlxalq	bejnɑɫχɑlg
beynəlxalq	bejnɑɫχɑlχ
beyt	bejt
bezmək	bezmæj
bezmək	bezmæk
bədbin	bædbin
bədən	bædæn
bəhrə	bæhræ
bəkarət	bætʃɑːræt
bəla	bæɫɑ
bəlağət	bæɫɑːɣæt
bəlağətli	bæɫɑːɣætːi
bəlağətli	bæɫɑːɣætli
bələd	bælæd
bələdçi	bælædtsi
bələdçi	bælædtʃi
bəlgə	bælijæ
bəlgə	bælɟæ
bəlğəm	bælɣæm
bəlkə	bælkæ
bəlkə	bælkæm
bəlkə	bærkæ
bənd	bænd
bənək	bænæç
bənək	bænæj
bəniz	bæniz
bəniz	bæŋiz
bənna	bænːɑ
bənövşə	bænœvʃæ
bənövşəyi	bænœvʃæji
bənzər	bænzær
bənzərsiz	bænzærsiz
bərabər	bærɑːbær
bərbər	bærbæɾ
bərəkallah	bæræcɑɫːɑh
bərəkallah	bæræcɑnːɑh
bərəkət	bæræcæt
bərəkət	bærætʃæt
bərk	bærk
bərkdən	bærkdæn
bərkdən	bærktæn
bərpa	bærpɑ
bəşər	bæʃær
bəsləmək	bæslæmæk
bəsləmək	bæstæmæj
bəsləmək	bæstæmæk
bəstə	bæstæ
bəxşiş	bæxʃiʃ
bəxt	bæχt
bəxtəvər	bæχtævær
bəz	bæz
bəzən	bæːzæn
bəzi	bæzi
bibər	bibæɾ
bibi	bibi
bibioğlu	bibioɣɫu
bibiqızı	bibigɯzɯ
biçin	bitsin
biçin	bitʃin
biganə	biɟɑːnæ
bilgi	bilɟi
bilik	bilic
bilik	biliç
bilik	bilij
bilmək	bilmæj
bilmək	bilmæk
bilmək	bilmɑχ
bilmək	bilmej
bilmək	bylmɑχ
bioloji	bioloʒɯ
biqeyrət	bigejræt
biraz	birɑz
bir	bir
bircə	birdzæ
bircə	birdʒæ
birdən	birdæn
birgə	birɟæ
birinci	birimdzi
birinci	birindzi
birinci	birindʒi
birisigün	birisiɟyn
birisigün	byrsyɟyn
birləşdirmək	birːæʃdirmæj
birləşdirmək	birlæʃdirmæj
birləşmək	birːæʃmæj
birləşmək	birlæʃmæj
birlikdə	birlikdæ
birlikdə	birliktæ
bişərəf	biʃæræf
bişirmək	biʃirmæk
bişirmək	piʃirmæk
bişirmək	piʃirmɑχ
bişirmək	piʃirmej
bişmək	biʃmæk
bişmək	piʃmæk
bişmək	piʃmɑχ
bişmək	piʃmej
bit	bit
bitirmək	bitirmæj
bitirmək	bitirmæk
bitirmək	bitirmætʃ
bitişik	bitiʃik
bitmək	bitmæj
bitmək	bitmæk
bitmək	bitmɑχ
bitmək	bitmej
biyabanlıq	bijɑbɑnːɯχ
biyabanlıq	bijɑbɑnɫɯχ
biyabanlıq	bijɑvɑnːɯχ
bıçaq	bɯtʃɑχ
bıçaq	ptsɑχ
bıçaq	ptʃɑχ
bıçaq	pɯtsɑχ
bıçaq	pɯtʃɑχ
boğaz	boɣɑz
boğmaq	boɣmɑχ
boğulmaq	boɣuɫmɑχ
böhran	bœhrɑn
bolluq	boɫːuχ
bölmə	bœlmæ
boran	borrɑn
borc	bordz
borc	bordʒ
börk	bœrc
boru	boru
boşalmaq	boʃɑɫmɑχ
boşanmaq	boʃɑmːɑχ
boş	boʃ
boşqab	boʃgɑb
boşqab	buʃɣab
boyalamaq	bojɑɫɑmɑχ
boyamaq	bojɑmɑχ
boyaqotu	bojɑɣotu
böyələk	bœjælæc
böyründə	bœjryndæ
böyük	bœjyc
böyümək	bœjymæc
boyun	bojun
boyunca	bojundzɑ
boyunca	bojundʒɑ
boyunduruq	bojunduruχ
böyür	bœjyr
böyürmək	bœjyrmæç
böyürmək	bœjyrmæj
böyürmək	bœjyrmæk
böyürtkən	bœjyrtcæn
böyütmək	bœjytmæk
bozbaş	bozbɑʃ
bucaq	budzɑχ
bucaq	budʒɑχ
budaq	budɑχ
bugün	buɟyn
bugün	byjyn
bugün	byɟyn
buğur	buɣur
buğur	bɯɣɯr
bükmək	byçmɑχ
bükmək	byhmɑχ
bükmək	bykmæj
bükmək	bykmæk
bükmək	bytʃmætʃ
bulanıq	bulɑnɯχ
bulanlıq	buɫɑnːɯχ
bulanlıq	buɫɑnɫɯχ
bülbül	bylbyl
bulmaq	buɫmɑχ
bülöv	bylœv
bülövləmək	bylœvlæmæk
bunca	bundzɑ
bunca	bundʒɑ
bünövrə	bynœvræ
bünyad	bynjɑd
burada	burɑdɑ
buradan	burɑdɑn
buradan	burdɑn
buraxmaq	burɑχmɑχ
burda	buɾdɑ
burğac	burɣɑdz
burğac	burɣɑdʒ
burmaq	burmɑχ
burun	burun
bütpərəst	bytpæræst
butulka	butɯɫka
butulka	putulka
butulka	putɯlka
buxaq	buχɑχ
buxur	buxur
buynuz	bujnuz
buyruq	bujrux
buyurmaq	bujurmɑχ
buzlu	buzɫu
buzov	buzov
cadu	dzɑːdu
cadu	dʒɑːdu
çağa	tsɑɣɑ
çağa	tʃɑɣɑ
çağdaş	tsaɣdaʃ
çağdaş	tʃaɣdaʃ
çağırım	tsɑɣɯrɯm
çağırım	tʃɑɣɯrɯm
çağırış	tsɑɣɯrɯʃ
çağırış	tʃɑɣɯrɯʃ
çağırmaq	tsɑɣɯrmɑχ
çağırmaq	tʃɑɣɯrmɑχ
çağ	tsɑɣ
çağ	tʃɑɣ
çalağan	tsɑɫɑɣɑn
çalağan	tʃɑɫɑɣɑn
calamaq	dzɑɫɑmɑχ
calamaq	dʒɑɫɑmɑχ
calaq	dzɑɫɑx
calaq	dʒɑɫɑx
çalışmaq	tsɑɫɯʃmɑχ
çalışmaq	tʃɑɫɯʃmɑχ
çalışqan	tsɑɫɯʃgɑn
çalışqan	tʃɑɫɯʃgɑn
çalmaq	tsɑɫmɑχ
çalmaq	tʃɑɫmɑχ
çalma	tsɑɫmɑ
çalma	tʃɑɫmɑ
çal	tsɑɫ
çal	tʃɑɫ
camaat	dzɑmɑɑt
camaat	dzɑmɑhɑt
camaat	dʒɑmɑɑt
camaat	dʒɑmɑhɑt
canavar	dzɑnɑvɑr
canavar	dʒɑnɑvɑr
can	dzɑn
can	dʒɑn
cangüdən	dzɑndʒydæn
cangüdən	dʒɑngydæn
canlandırmaq	dzɑnɫɑndɯrmɑx
canlandırmaq	dʒɑnɫɑndɯrmɑx
çanta	tsɑntɑ
çanta	tʃɑntɑ
çapovul	tsɑpovuɫ
çapovul	tʃɑpovuɫ
çap	tsɑp
çap	tʃɑp
çaqqal	tʃɑkgɑl
çaqqı	tsɑkːɯ
çardaq	tsɑrdɑx
çardaq	tʃɑrdɑx
çarə	tsɑːræ
çarə	tʃɑːræ
çar	tsɑr
çar	tʃɑr
çaşdırmaq	tsɑʃtɯrmɑχ
çaşdırmaq	tʃɑʃtɯrmɑχ
çaşmaq	tsɑʃmɑχ
çaşmaq	tʃɑʃmɑχ
casus	dzɑːsus
casus	dʒɑːsus
çatdırmaq	tsɑtːɯrmɑχ
çatdırmaq	tʃɑtːɯrmɑχ
çatışmamazlıq	tsɑtɯʃmɑmɑzɫɯχ
çatışmamazlıq	tʃɑtɯʃmɑmɑzɫɯχ
çatışmaq	tsɑtɯʃmɑχ
çatışmaq	tʃɑtɯʃmɑχ
çatışmazlıq	tsɑtɯʃmɑzɫɯχ
çatışmazlıq	tʃɑtɯʃmɑzɫɯχ
çatmaq	tsɑtmɑχ
çatmaq	tʃɑtmɑχ
cavab	dzɑvɑb
cavab	dʒɑvɑb
cavablandırmaq	dzɑvɑbɫɑndɯrmɑχ
cavablandırmaq	dʒɑvɑbɫɑndɯrmɑχ
cavan	dzɑvɑn
cavan	dʒɑvɑn
cavanlıq	dzɑvɑnːɯχ
cavanlıq	dzɑvɑnɫɯχ
cavanlıq	dʒɑvɑnːɯχ
cavanlıq	dʒɑvɑnɫɯχ
çavuş	tsɑvuʃ
çavuş	tʃɑvuʃ
çaxmaq	ʃɑχmɑχ
çaxmaq	tsɑχmɑχ
çaxmaq	tʃɑχmɑχ
çaxnaşma	tsɑxnɑʃmɑ
çaxnaşma	tʃɑxnɑʃmɑ
çayan	tʃɑjɑn
çayxana	tsɑjχɑnɑ
çayxana	tʃɑjχɑnɑ
cazibə	dzɑːzibæ
cazibə	dʒɑːzibæ
çerez	tserez
çerez	tʃerez
çeşmək	tseʃmæç
çeşmək	tseʃmætʃ
çeşmək	tʃeʃmæç
çeşmək	tʃeʃmæj
çeşmək	tʃeʃmæk
çevrə	tsevræ
çevrə	tʃevræ
cəbhəçi	dzæphætsi
cəbhəçi	dʒæphætʃi
cəbri	dzæbri
cəbri	dʒæbri
cəhan	dʒæhɑn
cəhd	dzæhd
cəhd	dʒæhd
çəkic	tsætʃidz
çəkic	tʃækidʒ
çəkiliş	tsætʃiliʃ
çəkiliş	tʃækiliʃ
çəkilmək	tsækilmæj
çəkilmək	tʃækilmæj
çəkilmək	tʃækilmæk
çəki	tsætʃi
çəki	tʃæki
çəkmək	tsæhmɑχ
çəkmək	tsækmæj
çəkmək	tsækmæk
çəkmək	tʃækmæj
çəkmək	tʃækmæk
çəlləkçi	tsælːætʃtsi
çəlləkçi	tʃælːæktʃi
cəm	dzæm
cəm	dʒæm
cəmi	dzæmi
cəmi	dʒæmi
cəmiyyət	dzæmijæt
cəmiyyət	dʒæmijæt
cənab	dʒænɑb
Çənab	tʃænɑb
çənə	tʃænæ
çəngəl	tsæŋgæl
çəngəl	tʃæŋgæl
çərçivə	tsærtsivæ
çərçivə	tʃærtʃivæ
cərimə	dzærimæ
cərimə	dʒærimæ
çərkəz	tʃærkæz
cəsarət	dzæsɑːræt
cəsarət	dʒæsɑːræt
çətin	tsætin
çətin	tʃætin
çətir	tsætir
çətir	tʃætir
cəvabən	dzævɑːbæn
cəvabən	dʒævɑːbæn
cəvabən	dʒɑvɑːbæn
cəviz	dzæviz
cəviz	dʒæviz
cəza	dzæzɑ
cəza	dʒæzɑ
cəzalandırıcı	dzæzɑɫɑndɯrɯdzɯ
cəzalandırıcı	dʒæzɑɫɑndɯrɯdʒɯ
cəzalandırmaq	dzæzɑɫɑndɯrmɑχ
cəzalandırmaq	dʒæzɑɫɑndɯrmɑχ
cəzalanmaq	dzæzɑɫɑnmɑχ
cəzalanmaq	dʒæzɑɫɑnmɑχ
cib	dzib
cib	dʒib
çibin	tsibin
çibin	tʃibin
çiçəkləmək	tsitsætʃlæmætʃ
çiçəkləmək	tʃitʃæklæmæk
çiçək	tsitsæk
çiçək	tʃitʃæk
cihad	dzihɑd
çilingər	tsilindʒær
çilingər	tʃilinɟær
çimizdirmək	tsimizdirmæk
çimizdirmək	tʃimizdirmæj
çimizdirmək	tʃimizdirmæk
cincilim	dzindzilim
cincilim	dʒindʒilim
cinsi	dzinsi
cinsi	dʒinsi
çirkin	tsirtʃin
çirkin	tʃirkin
çirkli	tsirtʃli
çirkli	tʃirkli
çirk	tsiç
çirk	tsirtʃ
çirk	tʃirk
çisələmək	tsisælæmætʃ
çisələmək	tʃisælæmæk
çisəmək	tsisæmætʃ
çisəmək	tʃisæmæk
çiskinləmək	tsistʃinlæmætʃ
çiskinləmək	tʃiskinlæmæk
civi	dzivi
civi	dʒivi
çiyələk	tʃijælæk
çiyid	tsijid
çiyid	tʃijid
çiyin	tsijin
çiyin	tʃijin
çiy	tsij
çiy	tʃij
cizgi	dzizdʒi
cizgi	dʒizgi
cizyə	dzizjæ
cizyə	dʒizjæ
cığal	dʒɯɣɑɫ
cığır	dzɯɣɯr
cığır	dʒɯɣɯr
cındır	dzɯndɯr
cındır	dʒɯndɯr
çıraq	tsɯrɑχ
çıraq	tʃɯrɑχ
cırıq	dzɯrɯχ
cırıq	dʒɯrɯχ
cırmaq	dzɯrmɑχ
cırmaq	dʒɯrmɑχ
çırpışdırmaq	tsɯrpɯʃdɯrmɑχ
çırpışdırmaq	tʃɯrpɯʃdɯrmɑχ
çıxarmaq	tsɯχɑrtmɑχ
çıxarmaq	tʃɯχɑrtmɑχ
çıxış	tsɯχɯʃ
çıxış	tʃɯχɯʃ
çıxmaq	tsɯχmɑχ
çıxmaq	tʃɯχmɑχ
çocuq	tsodzuχ
çocuq	tʃodʒuχ
çökmək	tsœcmætʃ
çökmək	tʃœcmæc
çöküntü	tsœtʃynty
çöküntü	tʃœcynty
çöl	tsœl
çöl	tʃœl
çömçəquyruq	tʃœmtʃægujruχ
çörəkçi	tʃœræçtʃi
çörək	tsœræj
çörək	tsœrætʃ
çörək	tʃœræj
çörək	tʃœræk
çötkə	tsœttʃæ
çoxdan	tsoχdɑn
çoxdan	tʃoχdɑn
çoxnikahlılıq	tsoχnidʒɑhɫɯlɯχ
çoxnikahlılıq	tsoχnitʃɑhɫɯlɯχ
cübeyl	dʒybejl
çubuş	tsubuʃ
çubuş	tʃubuʃ
cücə	dzydzæ
cücə	dʒydʒæ
çuğundur	tʃuɣundur
cuhud	dzuhud
cuhud	dʒuhud
çul	tsuɫ
çul	tʃuɫ
cümhuriyyət	dzymhuːrijæt
cümhuriyyət	dʒymhuːrijæt
cümlə	dzymlæ
cümlə	dʒymlæ
çünki	tsynki
çünki	tsynky
çünki	tʃynki
çünki	tʃynky
çürük	tʃyryç
çürük	tʃyryh
çürük	tʃyryj
çürük	tʃyryk
cütçü	dzyttsy
cütçü	dʒyttʃy
cütçülük	dzyttsylyk
cütçülük	dʒyttʃylyk
cüt	dzyt
cüt	dʒyt
cütlük	dzytlyk
cütlük	dʒytlyk
dad	dɑːd
dad	dɑd
dadı	dɑdɯ
dağılmaq	dɑːɫmɑχ
dağılmaq	dɑɣɯɫmɑχ
dağıntı	dɑɣɯntɯ
dağlı	dɑɣɫɯ
daha	dɑhɑ
daima	dɑimɑ
daim	dɑim
dairəvi	dɑirævi
dala	dɑɫɑ
dalandar	dɑɫɑndɑr
dalaq	dɑɫɑχ
dalbadal	dɑɫbɑdɑɫ
dal	dɑɫ
daldırmaq	dɑɫdɯrmɑχ
dalğa	dɑɫɣɑ
dalınca	dɑɫɯndzɑ
dalınca	dɑɫɯndʒɑ
dalmaq	dɑɫmɑχ
damaqarxası	dɑmɑɣɑrxasɯ
damaq	dɑmɑx
damaqönü	dɑmɑɣœny
damaqortası	dɑmɑɣortɑsɯ
damar	dɑmɑr
damcı	dɑmdzɯ
damcı	dɑmdʒɯ
damğalı	dɑmɣɑɫɯ
damla	dɑmɫɑ
dan	dɑn
danimarkalı	dɑnimɑrkɑɫɯ
danışdırmaq	dɑnɯʃdɯr
danışıq	dɑnɯʃɯχ
danışmaq	danɯʃmɑχ
danmaq	dɑmːɑχ
danmaq	dɑnmɑχ
danna	dɑnːɑ
daramaq	dɑrɑmɑχ
daraq	dɑrɑχ
daraq	tɑrɑχ
dar	dɑr
darılmaq	dɑrɯɫmɑχ
dartmaq	dɑrtmɑχ
darvaza	dɑrvɑzɑ
daş	dɑʃ
daşımaq	dɑʃɯmɑχ
dava	dɑːvɑ
davamçı	dɑvɑmtsɯ
davamçı	dɑvɑmtʃɯ
davar	dɑvɑr
daxil	dɑːχil
daxili	dɑːχili
daxma	dɑxmɑ
dayamaq	dajɑmɑχ
dayanacaq	dɑjɑnɑdʒɑχ
dayandırmaq	dɑjɑndɯrmɑx
dayanmaq	dajɑmːɑχ
dayanmaq	dajɑnmɑχ
dayça	dɑjtsɑ
dayça	dɑjtʃɑ
